id,symbol,current_price,market_cap,total_volume,extracted_at
bitcoin,btc,123358.0,2459101006089,63867556825,2025-10-08 16:44:44.385321
ethereum,eth,4529.17,546496783514,37890361052,2025-10-08 16:44:44.385321
binancecoin,bnb,1306.88,182252451194,6548657332,2025-10-08 16:44:44.385321
tether,usdt,1.0,177955880117,123660689131,2025-10-08 16:44:44.385321
ripple,xrp,2.9,173393240451,4568484350,2025-10-08 16:44:44.385321
solana,sol,229.08,125193767478,7461323346,2025-10-08 16:44:44.385321
usd-coin,usdc,0.999709,75687096678,11032252155,2025-10-08 16:44:44.385321
dogecoin,doge,0.257669,38992126901,2900740191,2025-10-08 16:44:44.385321
staked-ether,steth,4525.68,38572824643,41159571,2025-10-08 16:44:44.385321
tron,trx,0.342046,32386415069,772876467,2025-10-08 16:44:44.385321
